autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor franco de sousa,"aut=sousa franco de%"
autor sergio luis carvalho,"aut=carvalho, sergio luis%"
autor serge bertino,"aut=bertino serge%"
autor rene follet,"aut=follet rene%"
autor antonia maria pereira,"aut=pereira antonia maria%"
autor joaquim romero magalhaes,"aut=magalhaes, joaquim romero%"
autor joao paulo savado,"aut=savado, joao paulo%"
autor isabel  alcada,"aut=alcada, isabel%"
autor portugal, comissao nacional para as comemoracoes dos descobrimentos portugueses,"aut=portugal, comissao nacional para as comemoracoes dos descobrimentos portugueses%"
autor portugal, ministerio da educacao,"aut=portugal, ministerio da educacao%"
autor  grupo de trabalho para as comemoracoes dos descobrimentos portugueses,,"aut=grupo de trabalho para as comemoracoes dos descobrimentos portugueses%"
autor  clara vilar,"aut=vilar,  clara%"
autor luis r. guerreiro,"aut=guerreiro, luis r.%"
autor fernando pardal,"aut=pardal, fernando%"
autor jeanjacques courtine,"aut=courtine, jeanjacques%"
autor claudine haroche,"aut=haroche, claudine%"
autor ana moura,"aut=moura, ana%"
autor cristina louro,"aut=louro, cristina%"
autor relacoes publicas da defesa nacional,"aut=relacoes publicas da defesa nacional%"
autor vitorino magalhaes godinho,"aut=godinho, vitorino magalhaes%"
autor joao fagundes,"aut=fagundes, joao%"
autor paulo renato cruz,"aut=cruz, paulo renato%"
autor maria de jesus dos martires lopes,"aut=lopes, maria de jesus dos martires%"
autor maria fernanda correia,"aut=correia, maria fernanda%"
autor eduardo frutuoso,"aut=frutuoso, eduardo%"
autor maria de fatima vasconcelos,"aut=vasconcelos, maria de fatima%"
autor jose caro proenca,"aut=proenca, jose caro%"
autor rui manuel loureiro,"aut=loureiro rui manuel%"
autor ana maria pereira ferreira,"aut=ferreira, ana maria pereira%"
autor a. dias farinha,"aut=farinha, a. dias%"
autor leon bourbon,"aut=bourbon, leon%"
autor grupo de trabalho do ministerio da educacao para a comemoracao dos descobrimentos portugueses,"aut=grupo de trabalho do ministerio da educacao para a comemoracao dos descobrimentos portugueses%"
autor antonio rodrigues mourinho,"aut=mourinho, antonio rodrigues%"
autor jacques le goff,"aut=goff, jacques le%"
autor francisco contente domingues,"aut=domingues, francisco contente%"
autor rafael moreira,"aut=moreira, rafael%"
autor manuel de abreu mousinho,"aut=mousinho manuel de abreu%"
autor maria paula caetano,"aut=caetano maria paula%"
autor francisco linhares,"aut=linhares, francisco%"
autor neves aguas,"aut=aguas, neves%"
autor marques cruz,"aut=cruz, marques%"
autor odette saintmaurice,"aut=saintmaurice, odette%"
autor jose manuel soares,"aut=soares, jose manuel%"
autor antonio luis ferronha,"aut=ferronha antonio luis%"
autor joao moreira,"aut=moreira joao%"
autor brian bolt,"aut=bolt brian%"
autor liliana costa,"aut=costa liliana%"
autor harry venning,"aut=venning harry%"
autor deana pires ribeiro,"aut=ribeiro deana pires%"
autor lidia lobo martins,"aut=martins lidia lobo%"
autor mariepierre perdrizet,"aut=perdrizet mariepierre%"
autor daniel henon,"aut=henon daniel%"
autor seminario o livro e a leitura, o processo educativo,"aut=seminario o livro e a leitura, o processo educativo%"
autor portugal conselho nacional de educacao,"aut=portugal conselho nacional de educacao%"
autor portugal instituto da biblioteca nacional e do livro,"aut=portugal instituto da biblioteca nacional e do livro%"
autor  departamento do ensino secundario,"aut=departamento do ensino secundario%"
autor maria paula caetano,"aut=caetano, maria paula%"
autor joao ribeiro,"aut=ribeiro, joao%"
autor jose antonio ferreira almeida,"aut=almeida, jose antonio ferreira%"
autor bernardo ferrao,"aut=ferrao, bernardo%"
autor serpa pinto,"aut=pinto serpa%"
autor jose alberto rodrigues da silva tavim,"aut=tavim jose alberto rodrigues da silva%"
autor joao marinho dos santos,"aut=santos joao marinho dos%"
autor brazilian cultural foundation,"aut=brazilian cultural foundation%"
autor luis correia peixoto,"aut=peixoto luis correia%"
autor banco pinto  sotto mayor,"aut=banco pinto  sotto mayor%"
autor antoine icart,"aut=icart, antoine%"
autor ken houghton,"aut=houghton, ken%"
autor jorge saraiva,"aut=saraiva, jorge%"
autor norman barder,"aut=barder, norman%"
autor john davis,"aut=davis, john%"
autor ana castro freire,"aut=freire, ana castro%"
autor jose couto nogueira,"aut=nogueira, jose couto%"
autor rui pereira,"aut=pereira, rui%"
autor ana mendes henriques,"aut=henriques, ana mendes%"
autor nuno xavier casimiro,"aut=casimiro, nuno xavier%"
autor joao carlos silva,"aut=silva, joao carlos%"
autor rui tavares,"aut=tavares, rui%"
autor joao couto nogueira,"aut=nogueira, joao couto%"
autor pedro ferro,"aut=ferro, pedro%"
autor joao pedro silveira,"aut=silveira, joao pedro%"
autor luisa clode,"aut=clode, luisa%"
autor john bradley,"aut=bradley john%"
autor john lewis,"aut=lewis john%"
autor elizabeth roberts,"aut=roberts elizabeth%"
autor fernando antonio alves,"aut=alves fernando antonio%"
autor robert royston,"aut=royston robert%"
autor david satterthwaite,"aut=satterthwaite david%"
autor henrique sobral,"aut=sobral henrique%"
autor c. varela  freitas,"aut=freitas, c. varela%"
autor deco,"aut=deco%"
autor manuel pinto,"aut=pinto, manuel%"
autor jorge silva rolla,"aut=rolla, jorge silva%"
autor beja santos,"aut=santos, beja%"
autor odete carvalho,"aut=carvalho, odete%"
autor teresa duarte,"aut=duarte, teresa%"
autor maria helena broglio mendes barbosa da costa salema,"aut=salema, maria helena broglio mendes barbosa da costa%"
autor elisa vila  nova,"aut=nova, elisa vila%"
autor isabel cottinelli telmo,"aut=telmo, isabel cottinelli%"
autor fatima coutinho,"aut=coutinho, fatima%"
autor isabel hapetian,"aut=hapetian, isabel%"
autor cristina kirkby,"aut=kirkby, cristina%"
autor leonor barao,"aut=barao, leonor%"
autor jose maria azevedo,"aut=azevedo jose maria%"
autor joao rebelo de carvalho,"aut=carvalho joao rebelo de%"
autor luis marques barbosa,"aut=barbosa luis marques%"
autor fernanda costa geraldes,"aut=geraldes fernanda costa%"
autor jose augusto seabra,"aut=seabra jose augusto%"
autor augusto santos silva,"aut=silva augusto santos%"
autor manuela ferreira,"aut=ferreira manuela%"
autor antoine de la garanderie,"aut=la garanderie antoine de%"
autor paulo francisco teixeira f. melo,"aut=melo paulo francisco teixeira f.%"
autor jose alberto correia,"aut=correia jose alberto%"
autor ilidio de jesus coelho falcao,"aut=falcao ilidio de jesus coelho%"
autor paulo fafe,"aut=fafe paulo%"
autor marcel postic,"aut=postic marcel%"
autor bernard marquet,"aut=marquet bernard%"
autor mario jose ferreira pinto,"aut=pinto mario jose ferreira%"
autor roberto carneiro,"aut=carneiro roberto%"
autor maria adelina de abreu garcia,"aut=garcia maria adelina de abreu%"
autor antonio novoa,"aut=novoa antonio%"
autor david best,"aut=best david%"
autor maria adosinda b. s. cardoso rocha,"aut=rocha maria adosinda b. s. cardoso%"
autor maria conceicao castro ramos,"aut=ramos maria conceicao castro%"
autor maria augusta goncalves seabra dinis,"aut=dinis, maria augusta goncalves seabra%"
autor jose carlos morgado,"aut=morgado, jose carlos%"
autor luis jorge goncalves,"aut=goncalves, luis jorge%"
autor manuel sequeira,"aut=sequeira, manuel%"
autor jose manuel sousa pinto,"aut=pinto, jose manuel sousa%"
autor jose antonio caride  gomez,"aut=gomez, jose antonio caride%"
autor beatriz pereira,"aut=pereira, beatriz%"
autor adelina paula pinto,"aut=pinto, adelina paula%"
autor joao m. paraskeva,"aut=paraskeva, joao m.%"
autor michael apple,"aut=apple, michael%"
autor luisa silva  marta,"aut=marta, luisa silva%"
autor seminario sobre sistema educativo e formacao profissional,"aut=seminario sobre sistema educativo e formacao profissional%"
autor portugal comissao de reforma do sistema educativo,"aut=portugal comissao de reforma do sistema educativo%"
autor jeanmarie de ketele,"aut=de ketele, jeanmarie%"
autor portugal assembleia da republica,"aut=portugal assembleia da republica%"
autor portugal ministerio da educacao e ciencia,"aut=portugal ministerio da educacao e ciencia%"
autor maria emilia ricardo marques,"aut=marques, maria emilia ricardo%"
autor joao m. parasheva,"aut=parasheva, joao m.%"
autor instituto politecnico de leiria escola superior de educacao,"aut=instituto politecnico de leiria. escola superior de educacao%"
autor maria manuela almeida coimbra,"aut=coimbra maria manuela almeida%"
autor encontro nacional sobre planeamento educativo,"aut=encontro nacional sobre planeamento educativo%"
autor universidade catolica portuguesa centro de estudos dos povos e culturas de expressao portuguesa,"aut=universidade catolica portuguesa centro de estudos dos povos e culturas de expressao portuguesa%"
autor camilo mourao,"aut=mourao camilo%"
autor portugal comissao de reforma do sistema educativo,"aut=portugal. comissao de reforma do sistema educativo%"
autor maria alice reis,"aut=reis maria alice%"
autor joaquim romero magalhaes,"aut=magalhaes joaquim romero%"
autor charles maccio,"aut=maccio, charles%"
autor antonio ravara,"aut=ravara, antonio%"
autor  programa de promocao e educacao para a saude,"aut=programa de promocao e educacao para a saude%"
autor j. manuel de castro pinto,"aut=pinto j. manuel de castro%"
autor saul neves de jesus,"aut=jesus saul neves de%"
autor luis carneiro,"aut=carneiro, luis%"
autor ana luisa neves,"aut=neves, ana luisa%"
autor jesus herrero,"aut=herrero, jesus%"
autor antero afonso,"aut=afonso, antero%"
autor conselho nacional de educacao,"aut=conselho nacional de educacao%"
autor jonathan f. gunter,"aut=gunter jonathan f.%"
autor carolina de oliveira,"aut=oliveira carolina de%"
autor john halas,"aut=halas john%"
autor  intess,"aut=intess%"
autor ana carita,"aut=carita ana%"
autor maria da graca lameiras fernandes,"aut=fernandes maria da graca lameiras%"
autor portugal comissao nacional de acesso ao ensino superior,"aut=portugal comissao nacional de acesso ao ensino superior%"
autor instituto de accao social escolar,"aut=instituto de accao social escolar%"
autor  baro f.,"aut=baro, f.%"
autor mercedes gomez del manzano,"aut=gomez del manzano, mercedes%"
autor maria filomena da silva santos,"aut=santos, maria filomena da silva%"
autor portugal, instituto dos assuntos sociais da educacao,"aut=portugal, instituto dos assuntos sociais da educacao%"
autor pierre gourgand,"aut=gourgand, pierre%"
autor isabel tamen,"aut=tamen, isabel%"
autor louis dhainaut,"aut=dhainaut, louis%"
autor a. biancheri,"aut=biancheri, a.%"
autor jose joao boavida,"aut=boavida, jose joao%"
autor antonio ayne,"aut=ayne, antonio%"
autor michel lobrot,"aut=lobrot, michel%"
autor marta ulrich,"aut=ulrich, marta%"
autor ana maria da cunha,"aut=cunha, ana maria da%"
autor jose vieira marques,"aut=marques, jose vieira%"
autor philippe monello,"aut=monello, philippe%"
autor victor jacobson,"aut=jacobson, victor%"
autor maria isabel tamen,"aut=tamen, maria isabel%"
autor georges snyders,"aut=snyders, georges%"
autor paul archambault,"aut=archambault, paul%"
autor jacques tschoumy,"aut=tschoumy, jacques%"
autor comissao para a promocao dos direitos humanos e igualdade na educacao,"aut=comissao para a promocao dos direitos humanos e igualdade na educacao%"
autor  gabinete de estudos e planeamento,"aut=gabinete de estudos e planeamento%"
autor associacao dos professores de portuges,"aut=associacao dos professores de portuges%"
autor manuel de sa machado,"aut=machado, manuel de sa%"
autor manuel guilherme faria de almeida,"aut=almeida manuel guilherme faria de%"
autor antonio joao sardinha,"aut=sardinha antonio joao%"
autor portugal direccao regional de educacao de lisboa,"aut=portugal direccao regional de educacao de lisboa%"
autor antonio j. oliveira,"aut=oliveira antonio j.%"
autor portugal secretariado nacional para a reabilitacao e integracao das pessoas com dificiencia,"aut=portugal. secretariado nacional para a reabilitacao e integracao das pessoas com dificiencia%"
autor alfredo dias,"aut=dias, alfredo%"
autor portugal comissao para a promocao dos direitos humanos e igualdade na educacao,"aut=portugal. comissao para a promocao dos direitos humanos e igualdade na educacao%"
autor m.costa silva,"aut=silva, m.costa%"
autor claudia mealha,"aut=mealha, claudia%"
autor jornadas de musica antiga,"aut=jornadas de musica antiga%"
autor fundacao calouste gulbenkian servico de musica,"aut=fundacao calouste gulbenkian servico de musica%"
autor ernesto veiga de oliveira,"aut=oliveira ernesto veiga de%"
autor domingos morais,"aut=morais domingos%"
autor bienal de arte de macau,"aut=bienal de arte de macau%"
autor macau instituto cultural,"aut=macau instituto cultural%"
autor florido de vasconcelos,"aut=vasconcelos florido de%"
autor claudia mealha,"aut=mealha claudia%"
autor maria cristina barbosa,"aut=barbosa maria cristina%"
autor encontros gulbenkian de musica contemporanea,"aut=encontros gulbenkian de musica contemporanea%"
autor antonio sousa pereira,"aut=pereira, , antonio sousa%"
autor willie doherty,"aut=doherty, willie%"
autor  fundacao calouste gulbenkian,"aut=fundacao calouste gulbenkian%"
autor daniele giraudy,"aut=giraudy, daniele%"
autor manon cleary,"aut=cleary, manon%"
autor schang hutter,"aut=hutter, schang%"
autor sergio telles,"aut=telles, sergio%"
autor daniel graffin,"aut=graffin, daniel%"
autor manuel teixeira leite,"aut=leite, manuel teixeira%"
autor centro de arte moderna,"aut=centro de arte moderna%"
autor graca carvalho,"aut=carvalho, graca%"
autor j.r. porter,"aut=porter, j.r.%"
autor lorraine harrison,"aut=harrison, lorraine%"
autor elsa jane werner,"aut=werner, elsa jane%"
autor charles hartman,"aut=hartman, charles%"
autor feodor rojankovsky,"aut=rojankovsky, feodor%"
autor joao ferreira almeida,"aut=almeida, joao ferreira%"
autor rui cipriano,"aut=cipriano, rui%"
autor centro pastoral santo antonio,"aut=centro pastoral santo antonio%"
autor miguel diez,"aut=diez, miguel%"
autor spencer johnson,"aut=johnson, spencer%"
autor jose reis,"aut=reis, jose%"
autor teresa maria farto faria sousa,"aut=sousa, teresa maria farto faria%"
autor jose carlos venancio,"aut=venancio, jose carlos%"
autor adelino torres,"aut=torres, adelino%"
autor ministerio do emprego e da seguranca social,"aut=ministerio do emprego e da seguranca social%"
autor joao ludgero m. goncalves,"aut=goncalves, joao ludgero m.%"
autor camara municipal de cadaval,"aut=camara municipal de cadaval%"
autor camara municipal da lourinha,"aut=camara municipal da lourinha%"
autor dr. santinho cunha,"aut=cunha, dr. santinho%"
autor margarida rodrigues camacho,"aut=camacho, margarida rodrigues%"
autor pedro dorey cunha,"aut=cunha, pedro dorey%"
autor dr§ isabel maria lousa,"aut=lousa, dr§ isabel maria%"
autor fernando jose cunha de oliveira,"aut=oliveira, fernando jose cunha de%"
autor fernando jose cunha de  oliveira,"aut=oliveira, fernando jose cunha de%"
autor inacio beirao,"aut=beirao, inacio%"
autor camara municipal de mafra,"aut=camara municipal de mafra%"
autor ana catarina sousa,"aut=sousa, ana catarina%"
autor laura ingalls wilder,"aut=wilder, laura ingalls%"
autor garth williams,"aut=williams, garth%"
autor fernanda rodrigues,"aut=rodrigues, fernanda%"
autor laura mateus fonseca,"aut=fonseca, laura mateus%"
autor sabatino moscati,"aut=moscati sabatino%"
autor mariarosa conti,"aut=conti mariarosa%"
autor gabriele mandel,"aut=mandel gabriele%"
autor jose manuel pedreirinho,"aut=pedreirinho jose manuel%"
autor flavio conti,"aut=conti flavio%"
autor joao manuel borges de azevedo,"aut=azevedo joao manuel borges de%"
autor franca bedin,"aut=bedin franca%"
autor marcello giacomantonio,"aut=giacomantonio, marcello%"
autor manuela couto,"aut=couto, manuela%"
autor mario torres,"aut=torres mario%"
autor romolo a. staccioli,"aut=staccioli romolo a.%"
autor alda tarella,"aut=tarella alda%"
autor jose augusto alegria,"aut=alegria jose augusto%"
autor gerard betton,"aut=betton gerard%"
autor maria gabriela de braganca,"aut=braganca maria gabriela de%"
autor louise gordon,"aut=gordon louise%"
autor mario b. nogueira,"aut=nogueira mario b.%"
autor joseph scherpereel,"aut=scherpereel joseph%"
autor maria fernanda cidrais,"aut=cidrais maria fernanda%"
autor rui vieira nery,"aut=nery rui vieira%"
autor luis de pina,"aut=pina luis de%"
autor maria amalia borges medeiros,"aut=medeiros maria amalia borges%"
autor instituto de tecnologia educativa,"aut=instituto de tecnologia educativa%"
autor paul lengrand,"aut=lengrand, paul%"
autor giorgio lise,"aut=lise, giorgio%"
autor luis francisco rebelo,"aut=rebelo luis francisco%"
autor federico garcia lorca,"aut=garcia lorca federico%"
autor fundacao calouste gulbenkian centro de arte moderna,"aut=fundacao calouste gulbenkian centro de arte moderna%"
autor anthea peppin,"aut=peppin anthea%"
autor joseph mcewan,"aut=mcewan joseph%"
autor maria luisa barosa,"aut=barosa maria luisa%"
autor eurico goncalves,"aut=goncalves eurico%"
autor royal academy of arts,"aut=royal academy of arts%"
autor angloportuguese society,"aut=angloportuguese society%"
autor jose sousa machado,"aut=machado jose sousa%"
autor edicoes arrabida,"aut=edicoes arrabida%"
autor missao de macau em lisboa,"aut=missao de macau em lisboa%"
autor portugal constituicao,"aut=portugal constituicao%"
autor fernando diogo silva,"aut=silva, fernando diogo%"
autor portugal secretaria de estado da administracao publica,"aut=portugal secretaria de estado da administracao publica%"
autor afonso botelho,"aut=botelho, afonso%"
autor philippe devillers,"aut=devillers, philippe%"
autor maria do carmo pizarro,"aut=pizarro, maria do carmo%"
autor jose maria noronha feio,"aut=feio, jose maria noronha%"
autor  secretaria geral,"aut=secretaria geral%"
autor gerhard leibholz,"aut=leibholz, gerhard%"
autor haroldo shryock,"aut=shryock, haroldo%"
autor vo nguyen giap,"aut=giap, vo nguyen%"
autor denis langlois,"aut=langlois, denis%"
autor  plantu,"aut=plantu%"
autor maria reynolds souza,"aut=souza, maria reynolds%"
autor portugal comissao para a igualdade e direitos das mulheres,"aut=portugal comissao para a igualdade e direitos das mulheres%"
autor luiz teixeira,"aut=teixeira, luiz%"
autor portugal ministerio do trabalho e seguranca social,"aut=portugal. ministerio do trabalho e seguranca social%"
autor  comissao para a igualdade no trabalho e no emprego,"aut=comissao para a igualdade no trabalho e no emprego%"
autor andre alvares de almada,"aut=almada, andre alvares de%"
autor donald kenrick,"aut=kenrick, donald%"
autor grattan puxon,"aut=puxon, grattan%"
autor maria do rosario luizgomes de castro,"aut=castro, maria do rosario luizgomes de%"
autor henri pirenne,"aut=pirenne henri%"
autor carlos montenegro miguel,"aut=miguel carlos montenegro%"
autor regine pernoud,"aut=pernoud regine%"
autor maria do carmo santos,"aut=santos maria do carmo%"
autor luis filipe tomas,"aut=tomas luis filipe%"
autor william b. steed,"aut=steed william b.%"
autor coloquio construcao e ensino da historia de africa,"aut=coloquio construcao e ensino da historia de africa%"
autor portugal ministerio da ciencia e da tecnologia,"aut=portugal ministerio da ciencia e da tecnologia%"
autor  missao para a sociedade da informacao,"aut=missao para a sociedade da informacao%"
autor arlindo m. caldeira,"aut=caldeira arlindo m.%"
autor rodrigo banha da silva,"aut=silva rodrigo banha da%"
autor paulo jorge alves guinote,"aut=guinote paulo jorge alves%"
autor sergio luis carvalho,"aut=carvalho sergio luis%"
autor teresa lello,"aut=lello, teresa%"
autor cristiano lello,"aut=lello, cristiano%"
autor vitor figueiredo,"aut=figueiredo, vitor%"
autor luis vieira pinto,"aut=pinto, luis vieira%"
autor raul hestnes ferreira,"aut=ferreira, raul hestnes%"
autor j. martins lampreia,"aut=lampreia j. martins%"
autor philippe dupont,"aut=dupont philippe%"
autor  platao,"aut=platao%"
autor pinharanda gomes,"aut=gomes pinharanda%"
autor orlando augusto dias bravo,"aut=bravo orlando augusto dias%"
autor maria antonia abrunhosa,"aut=abrunhosa maria antonia%"
autor miguel leitao,"aut=leitao miguel%"
autor rogeria rezende,"aut=rezende rogeria%"
autor karl jaspers,"aut=jaspers karl%"
autor manuela pinto dos santos,"aut=santos manuela pinto dos%"
autor carlos grifo,"aut=grifo carlos%"
autor yuri gagarin,"aut=gagarin yuri%"
autor vladimir i. lebedev,"aut=lebedev vladimir i.%"
autor conceicao jardim,"aut=jardim conceicao%"
autor eduardo lucio nogueira,"aut=nogueira eduardo lucio%"
autor maria praia,"aut=praia maria%"
autor maria fernanda sores,"aut=sores, maria fernanda%"
autor claude moliterni,"aut=moliterni claude%"
autor bruno lagrange,"aut=lagrange bruno%"
autor jaime brocalremohi,"aut=brocalremohi jaime%"
autor jean marie ruffieux,"aut=ruffieux, jean marie%"
autor movimento igualista portugues,"aut=movimento igualista portugues%"
autor americo rodrigues,"aut=rodrigues americo%"
autor pedrosa ferreira,"aut=ferreira pedrosa%"
autor a. amaral,"aut=amaral a.%"
autor deolinda serralheiro,"aut=serralheiro deolinda%"
autor fernando teixeira moita,"aut=moita fernando teixeira%"
autor margarida a. santos,"aut=santos margarida a.%"
autor luis antonio vaz tecedeiro,"aut=tecedeiro, luis antonio vaz%"
autor antonio jesus cunha,"aut=cunha, antonio jesus%"
autor oliver burgelin,"aut=burgelin, oliver%"
autor isabel braga,"aut=braga, isabel%"
autor lewis mumford,"aut=mumford, lewis%"
autor fatima l. godinho,"aut=godinho, fatima l.%"
autor alice provensen,"aut=provensen, alice%"
autor martin provensen,"aut=provensen, martin%"
autor faculdade de filosofia, ucpbraga,"aut=faculdade de filosofia, u.c.p.braga%"
autor ann donegan johnson,"aut=johnson, ann donegan%"
autor luisa flores,"aut=flores, luisa%"
autor robert royston,"aut=royston, robert%"
autor david satterthwaite,"aut=satterthwaite, david%"
autor kyoko read read,"aut=read kyoko read%"
autor ann savage,"aut=savage ann%"
autor dulce fidalgo,"aut=fidalgo dulce%"
autor neil grant,"aut=grant neil%"
autor nigel flynn,"aut=flynn nigel%"
autor marilyn tolhurst,"aut=tolhurst marilyn%"
autor  rocha,"aut=rocha%"
autor peter brookeball,"aut=brookeball peter%"
autor sue seddon,"aut=seddon sue%"
autor roger murray,"aut=murray roger%"
autor lim mei,"aut=mei lim%"
autor eduardo jorge esperanca,"aut=esperanca eduardo jorge%"
autor portugal instituto do emprego e formacao profissional,"aut=portugal instituto do emprego e formacao profissional%"
autor luisa pinheiro portugal,"aut=portugal luisa pinheiro%"
autor maria alice frade,"aut=frade maria alice%"
autor antonio manuel marques,"aut=marques antonio manuel%"
autor satomi ichikawa,"aut=ichikawa satomi%"
autor alexandra teixeira,"aut=teixeira, alexandra%"
autor pedro jorge bogalho,"aut=bogalho, pedro jorge%"
autor nuno nobrega pestana,"aut=pestana, nuno nobrega%"
autor portugal ministerio do trabalho e da solidariedade,"aut=portugal. ministerio do trabalho e da solidariedade%"
autor  direccaogeral do emprego e formacao profissional,"aut=direccaogeral do emprego e formacao profissional%"
autor maria manuela goncalves pires martinho,"aut=martinho maria manuela goncalves pires%"
autor alberto martinho,"aut=martinho alberto%"
autor david mourao ferreira,"aut=ferreira david mourao%"
autor carlos de almeida,"aut=almeida carlos de%"
autor m. felix ribeiro,"aut=ribeiro m. felix%"
autor maia ataide,"aut=ataide maia%"
autor antonio manuel goncalves,"aut=goncalves antonio manuel%"
autor paulo ferreira da costa,"aut=costa paulo ferreira da%"
autor antonio gomez alfaro,"aut=alfaro, antonio gomez%"
autor camara municipal da atalaia,"aut=camara municipal da atalaia%"
autor  artstudium,"aut=artstudium%"
autor j. m. bairrao oleiro,"aut=oleiro j. m. bairrao%"
autor adilia alarcao,"aut=alarcao adilia%"
autor jorge de alarcao,"aut=alarcao jorge de%"
autor portugal museu monografico de conimbriga,"aut=portugal museu monografico de conimbriga%"
autor helena sanches galante,"aut=galante helena sanches%"
autor maria da conceicao moreira,"aut=moreira maria da conceicao%"
autor escola preparatoria de barcelos centro de estagio de educacao visual,"aut=escola preparatoria de barcelos centro de estagio de educacao visual%"
autor campos matos,"aut=matos campos%"
autor william kroll,"aut=kroll, william%"
autor tanios hanzo,"aut=hanzo, tanios%"
autor roland matos,"aut=matos, roland%"
autor teotonio r. de sousa,"aut=sousa teotonio r. de%"
autor miguel jasmins rodrigues,"aut=rodrigues miguel jasmins%"
autor jeanjacques greif,"aut=greif jeanjacques%"
autor gilles bachelet,"aut=bachelet gilles%"
autor alex mucchielli,"aut=mucchielli alex%"
autor ana margarida vaz pinto,"aut=pinto ana margarida vaz%"
autor frederick wilkinson,"aut=wilkinson frederick%"
autor vasco fernandes teixeira,"aut=teixeira vasco fernandes%"
autor douglas harker,"aut=harker douglas%"
autor michael orourke,"aut=orourke michael%"
autor ana paula silva,"aut=silva ana paula%"
autor maria eugenia guerreiro,"aut=guerreiro maria eugenia%"
autor paula taipas,"aut=taipas paula%"
autor margaret stephens,"aut=stephens margaret%"
autor rebecca treays,"aut=treays rebecca%"
autor russel punter,"aut=punter russel%"
autor collin mier,"aut=mier collin%"
autor sean wilkinson,"aut=wilkinson sean%"
autor rui gabriel viana pereira,"aut=pereira rui gabriel viana%"
autor armando silva,"aut=silva armando%"
autor philippa wingate,"aut=wingate philippa%"
autor nick baxter,"aut=baxter nick%"
autor oscar a. gomes ferreira,"aut=ferreira oscar a. gomes%"
autor derek matthews,"aut=matthews derek%"
autor jonatham satchell,"aut=satchell jonatham%"
autor escola preparatoria de evora e portalegre centro de estagio de educacao visual,"aut=escola preparatoria de evora e portalegre centro de estagio de educacao visual%"
autor escola preparatoria de abrantes centro de estagio de educacao visual,"aut=escola preparatoria de abrantes centro de estagio de educacao visual%"
autor  varios,"aut=varios%"
autor thierry alba,"aut=alba, thierry%"
autor joao carlos isoldi,"aut=isoldi, joao carlos%"
autor flavio carvalho vasconcelos,"aut=vasconcelos, flavio carvalho%"
autor maecelo oliveira coutinho lima,"aut=lima,  maecelo oliveira coutinho%"
autor rolando matos,"aut=matos, rolando%"
autor tomaz tausher,"aut=tausher, tomaz%"
autor toshinobu ishida,"aut=ishida,  toshinobu%"
autor oscar ferreira,"aut=ferreira, oscar%"
autor plinio junior,"aut=junior, plinio%"
autor enio silva,"aut=silva, enio%"
autor carlos l. medeiros,"aut=medeiros, carlos l.%"
autor microsoft corporation,"aut=microsoft corporation%"
autor ana duque,"aut=duque, ana%"
autor carol petrash,"aut=petrash carol%"
autor ana andre,"aut=andre ana%"
autor m.alice moura bessa,"aut=bessa, m.alice moura%"
autor john hawkins,"aut=hawkins, john%"
autor susan meredith,"aut=meredith, susan%"
autor roger priddy,"aut=priddy roger%"
autor jeremy banks,"aut=banks, jeremy%"
autor joao carlos migueis de matos,"aut=matos, joao carlos migueis de%"
autor asha kalbag,"aut=kalbag, asha%"
autor oscar a. gomes ferreira,"aut=ferreira, oscar a. gomes%"
autor james mccarter,"aut=mccarter, james%"
autor frank young,"aut=young, frank%"
autor james maccarter,"aut=maccarter, james%"
autor jordi sierra i fabra,"aut=fabra, jordi sierra i%"
autor almicarino guedes,"aut=guedes, almicarino%"
autor georgina ferreira,"aut=ferreira, georgina%"
autor jorge  lima,"aut=lima, jorge%"
autor rosa pinheiro,"aut=pinheiro, rosa%"
autor marina serrao,"aut=serrao, marina%"
autor jim corless,"aut=corless, jim%"
autor sally burrough,"aut=burrough, sally%"
autor malcolm english,"aut=english, malcolm%"
autor annabelle curtis,"aut=curtis, annabelle%"
autor john jamieson,"aut=jamieson, john%"
autor violet philpot,"aut=philpot, violet%"
autor mary jean mac neil,"aut=mac neil, mary jean%"
autor brian marshall,"aut=marshall, brian%"
autor falcon travis,"aut=travis, falcon%"
autor jane newdick,"aut=newdick, jane%"
autor anthony lupatelli,"aut=lupatelli, anthony%"
autor mary jean mcneil,"aut=mcneil, mary jean%"
autor dereck beck,"aut=beck, dereck%"
autor angela littler,"aut=littler, angela%"
autor zena flax,"aut=flax, zena%"
autor pierre davies,"aut=davies pierre%"
autor dave sirett,"aut=sirett, dave%"
autor cristina lourenco,"aut=lourenco cristina%"
autor norma jameson,"aut=jameson, norma%"
autor ann hirstsmith,"aut=hirstsmith, ann%"
autor rosemary simmons,"aut=simmons, rosemary%"
autor june jackson,"aut=jackson, june%"
autor eve de negri,"aut=negri, eve de%"
autor hilary chetwynd,"aut=chetwynd, hilary%"
autor john dickerson,"aut=dickerson, john%"
autor federacao portuguesa de andebol,"aut=federacao portuguesa de andebol%"
autor anibal silva costa,"aut=costa, anibal silva%"
autor gaby de mascarenhas e reis,"aut=reis gaby de mascarenhas e%"
autor clearing house,"aut=clearing house%"
autor comite frances pierre de coubertin,"aut=comite frances pierre de coubertin%"
autor f. lacerda e melo,"aut=melo f. lacerda e%"
autor cyril m. white,"aut=white cyril m.%"
